Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      641     0.00     0.00  Catch::Matchers::Impl::StdString::EndsWith::toString() const
  0.00      0.00     0.00      462     0.00     0.00  std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > std::money_put<wchar_t, std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > >::_M_insert<true>(std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> >, std::ios_base&, wchar_t, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&) const
  0.00      0.00     0.00      424     0.00     0.00  Catch::listTests(Catch::Config const&)
  0.00      0.00     0.00      316     0.00     0.00  std::__timepunct<wchar_t>::__timepunct(int*, char const*, unsigned int)
  0.00      0.00     0.00      294     0.00     0.00  std::basic_istream<wchar_t, std::char_traits<wchar_t> >& std::operator>><wchar_t, std::char_traits<wchar_t> >(std::basic_istream<wchar_t, std::char_traits<wchar_t> >&, wchar_t*)
  0.00      0.00     0.00      292     0.00     0.00  __gnu_cxx::stdio_filebuf<wchar_t, std::char_traits<wchar_t> >::stdio_filebuf(_iobuf*, std::_Ios_Openmode, unsigned int)
  0.00      0.00     0.00      274     0.00     0.00  Catch::listReporters(Catch::Config const&)
  0.00      0.00     0.00      272     0.00     0.00  void std::swap<Catch::CumulativeReporterBase::SectionNode*>(Catch::CumulativeReporterBase::SectionNode*&, Catch::CumulativeReporterBase::SectionNode*&)
  0.00      0.00     0.00      268     0.00     0.00  Catch::Clara::Detail::startsWith(std::string const&, std::string const&)
  0.00      0.00     0.00      251     0.00     0.00  Catch::TestSpec::matches(Catch::TestCaseInfo const&) const
  0.00      0.00     0.00      243     0.00     0.00  std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > std::money_put<wchar_t, std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > >::_M_insert<false>(std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> >, std::ios_base&, wchar_t, std::basic_string<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> > const&) const
  0.00      0.00     0.00      219     0.00     0.00  std::_Vector_base<Catch::TestCase, std::allocator<Catch::TestCase> >::_Vector_base(unsigned int, std::allocator<Catch::TestCase> const&)
  0.00      0.00     0.00      212     0.00     0.00  std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_Rb_tree_impl<std::less<std::string>, true>::_Rb_tree_impl()
  0.00      0.00     0.00      210     0.00     0.00  Catch::SectionEndInfo* std::__uninitialized_move_if_noexcept_a<Catch::SectionEndInfo*, Catch::SectionEndInfo*, std::allocator<Catch::SectionEndInfo> >(Catch::SectionEndInfo*, Catch::SectionEndInfo*, Catch::SectionEndInfo*, std::allocator<Catch::SectionEndInfo>&)
  0.00      0.00     0.00      193     0.00     0.00  void std::_Construct<Catch::Ptr<Catch::Matchers::Impl::Matcher<std::string> >, Catch::Ptr<Catch::Matchers::Impl::Matcher<std::string> > const&>(Catch::Ptr<Catch::Matchers::Impl::Matcher<std::string> >*, Catch::Ptr<Catch::Matchers::Impl::Matcher<std::string> > const&)
  0.00      0.00     0.00      188     0.00     0.00  __gnu_cxx::stdio_sync_filebuf<wchar_t, std::char_traits<wchar_t> >::seekoff(long long, std::_Ios_Seekdir, std::_Ios_Openmode)
  0.00      0.00     0.00      181     0.00     0.00  IntElement::~IntElement()
  0.00      0.00     0.00      176     0.00     0.00  std::_Vector_base<Catch::TestCase, std::allocator<Catch::TestCase> >::_Vector_base()
  0.00      0.00     0.00      174     0.00     0.00  std::basic_ostringstream<wchar_t, std::char_traits<wchar_t>, std::allocator<wchar_t> >::str() const
  0.00      0.00     0.00      163     0.00     0.00  Catch::TestRegistry::registerTest(Catch::TestCase const&)
  0.00      0.00     0.00      159     0.00     0.00  __gnu_cxx::stdio_filebuf<wchar_t, std::char_traits<wchar_t> >::~stdio_filebuf()
  0.00      0.00     0.00      148     0.00     0.00  std::__timepunct<wchar_t>::__timepunct(int*, char const*, unsigned int)
  0.00      0.00     0.00      143     0.00     0.00  Catch::Clara::addOptName(Catch::Clara::CommandLine<Catch::ConfigData>::Arg&, std::string const&)
  0.00      0.00     0.00      141     0.00     0.00  Catch::TestSpec::Filter::matches(Catch::TestCaseInfo const&) const
  0.00      0.00     0.00      137     0.00     0.00  void std::_Construct<Catch::Ptr<Catch::TestSpec::Pattern>, Catch::Ptr<Catch::TestSpec::Pattern>&>(Catch::Ptr<Catch::TestSpec::Pattern>*, Catch::Ptr<Catch::TestSpec::Pattern>&)
  0.00      0.00     0.00      136     0.00     0.00  Catch::SourceLineInfo::SourceLineInfo(char const*, unsigned int)
  0.00      0.00     0.00      129     0.00     0.00  Catch::Clara::CommandLine<Catch::ConfigData>::Arg::Arg()
  0.00      0.00     0.00      128     0.00     0.00  std::_Rb_tree_iterator<Catch::TestCase> std::_Rb_tree<Catch::TestCase, Catch::TestCase, std::_Identity<Catch::TestCase>, std::less<Catch::TestCase>, std::allocator<Catch::TestCase> >::_M_insert_<Catch::TestCase const&>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, Catch::TestCase const&)
  0.00      0.00     0.00      127     0.00     0.00  Catch::ReporterRegistrar<Catch::CompactReporter>::ReporterRegistrar(std::string const&)
  0.00      0.00     0.00      125     0.00     0.00  std::vector<Catch::TestCase, std::allocator<Catch::TestCase> >::operator[](unsigned int) const
  0.00      0.00     0.00      120     0.00     0.00  void std::swap<IntElement*>(IntElement*&, IntElement*&)
  0.00      0.00     0.00      119     0.00     0.00  std::__use_cache<std::__numpunct_cache<wchar_t> >::operator()(std::locale const&) const
  0.00      0.00     0.00      118     0.00     0.00  __gnu_cxx::new_allocator<Catch::Clara::CommandLine<Catch::ConfigData>::Arg>::~new_allocator()
  0.00      0.00     0.00      115     0.00     0.00  std::basic_ostream<wchar_t, std::char_traits<wchar_t> >& std::__ostream_insert<wchar_t, std::char_traits<wchar_t> >(std::basic_ostream<wchar_t, std::char_traits<wchar_t> >&, wchar_t const*, int)
  0.00      0.00     0.00      114     0.00     0.00  Catch::Matchers::Impl::StdString::EndsWith::match(std::string const&) const
  0.00      0.00     0.00      113     0.00     0.00  std::vector<std::vector<IntElement, std::allocator<IntElement> >, std::allocator<std::vector<IntElement, std::allocator<IntElement> > > >::operator=(std::vector<std::vector<IntElement, std::allocator<IntElement> >, std::allocator<std::vector<IntElement, std::allocator<IntElement> > > > const&)
  0.00      0.00     0.00      112     0.00     0.00  Catch::Ptr<Catch::TestCaseTracking::ITracker>* std::__uninitialized_move_if_noexcept_a<Catch::Ptr<Catch::TestCaseTracking::ITracker>*, Catch::Ptr<Catch::TestCaseTracking::ITracker>*, std::allocator<Catch::Ptr<Catch::TestCaseTracking::ITracker> > >(Catch::Ptr<Catch::TestCaseTracking::ITracker>*, Catch::Ptr<Catch::TestCaseTracking::ITracker>*, Catch::Ptr<Catch::TestCaseTracking::ITracker>*, std::allocator<Catch::Ptr<Catch::TestCaseTracking::ITracker> >&)
  0.00      0.00     0.00      109     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIN5Catch5Clara11CommandLineINS1_10ConfigDataEE3ArgEE9constructIS6_IS6_EEEvPT_DpOT0_
  0.00      0.00     0.00      108     0.00     0.00  std::__use_cache<std::__numpunct_cache<char> >::operator()(std::locale const&) const
  0.00      0.00     0.00      102     0.00     0.00  Catch::AssertionStats* std::__uninitialized_move_if_noexcept_a<Catch::AssertionStats*, Catch::AssertionStats*, std::allocator<Catch::AssertionStats> >(Catch::AssertionStats*, Catch::AssertionStats*, Catch::AssertionStats*, std::allocator<Catch::AssertionStats>&)
  0.00      0.00     0.00      102     0.00     0.00  __gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > > std::remove<__gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > >, Catch::MessageInfo>(__gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > >, __gnu_cxx::__normal_iterator<Catch::MessageInfo*, std::vector<Catch::MessageInfo, std::allocator<Catch::MessageInfo> > >, Catch::MessageInfo const&)
  0.00      0.00     0.00      101     0.00     0.00  Catch::Ptr<Catch::CumulativeReporterBase::Node<Catch::TestRunStats, Catch::CumulativeReporterBase::Node<Catch::TestGroupStats, Catch::CumulativeReporterBase::Node<Catch::TestCaseStats, Catch::CumulativeReporterBase::SectionNode> > > >& std::forward<Catch::Ptr<Catch::CumulativeReporterBase::Node<Catch::TestRunStats, Catch::CumulativeReporterBase::Node<Catch::TestGroupStats, Catch::CumulativeReporterBase::Node<Catch::TestCaseStats, Catch::CumulativeReporterBase::SectionNode> > > >&>(std::remove_reference<Catch::Ptr<Catch::CumulativeReporterBase::Node<Catch::TestRunStats, Catch::CumulativeReporterBase::Node<Catch::TestGroupStats, Catch::CumulativeReporterBase::Node<Catch::TestCaseStats, Catch::CumulativeReporterBase::SectionNode> > > >&>::type&)
